0, -1.52956, -0.141467, 0.717739; 
0.01, -1.52957, -0.141485, 0.717722; 
0.02, -1.52917, -0.143723, 0.717514; 
0.03, -1.53052, -0.150083, 0.717763; 
0.04, -1.53201, -0.155858, 0.718276; 
0.05, -1.53357, -0.161906, 0.718754; 
0.06, -1.53499, -0.167474, 0.719126; 
0.07, -1.5362, -0.172238, 0.719268; 
0.08, -1.53729, -0.176407, 0.719359; 
0.09, -1.53812, -0.179615, 0.719241; 
0.1, -1.53868, -0.18197, 0.718962; 
0.11, -1.53908, -0.183782, 0.718652; 
0.12, -1.53933, -0.185013, 0.718279; 
0.13, -1.53951, -0.185933, 0.71792; 
0.14, -1.53964, -0.186604, 0.71759; 
0.15, -1.53972, -0.187056, 0.717278; 
0.16, -1.5398, -0.18748, 0.717058; 
0.17, -1.53985, -0.187741, 0.716833; 
0.18, -1.5399, -0.187925, 0.716651; 
0.19, -1.53994, -0.188114, 0.716489; 
0.2, -1.54, -0.188289, 0.716393; 
0.21, -1.54006, -0.188471, 0.716331; 
0.22, -1.54012, -0.188633, 0.716278; 
0.23, -1.54016, -0.188761, 0.71625; 
0.24, -1.54021, -0.188825, 0.716227; 
0.25, -1.54026, -0.188929, 0.716221; 
0.26, -1.5403, -0.188968, 0.716188; 
0.27, -1.54038, -0.189043, 0.716223; 
0.28, -1.54043, -0.189139, 0.716244; 
0.29, -1.54044, -0.189098, 0.716215; 
0.3, -1.54049, -0.189171, 0.716256; 
0.31, -1.54056, -0.189283, 0.716324; 
0.32, -1.5406, -0.189337, 0.716359; 
0.33, -1.54068, -0.189485, 0.716445; 
0.34, -1.54073, -0.189542, 0.716491; 
0.35, -1.54078, -0.189584, 0.716531; 
0.36, -1.54083, -0.189659, 0.716584; 
0.37, -1.54087, -0.189689, 0.716621; 
0.38, -1.54092, -0.189734, 0.716668; 
0.39, -1.54096, -0.189765, 0.716706; 
0.4, -1.54101, -0.189812, 0.716754; 
0.41, -1.54106, -0.189821, 0.716787; 
0.42, -1.54112, -0.189879, 0.716848; 
0.43, -1.54113, -0.189857, 0.716855; 
0.44, -1.54117, -0.189871, 0.716904; 
0.45, -1.54124, -0.189979, 0.716973; 
0.46, -1.54127, -0.190006, 0.717008; 
0.47, -1.54133, -0.190091, 0.717061; 
0.48, -1.54138, -0.19017, 0.717124; 
0.49, -1.54141, -0.190183, 0.717157; 
0.5, -1.54148, -0.190273, 0.717232; 
0.51, -1.54152, -0.190316, 0.717283; 
0.52, -1.54155, -0.190348, 0.717322; 
0.53, -1.54163, -0.190411, 0.717393; 
0.54, -1.54167, -0.19044, 0.717421; 
0.55, -1.5417, -0.190449, 0.717438; 
0.56, -1.54179, -0.190575, 0.717535; 
0.57, -1.54183, -0.190616, 0.717573; 
0.58, -1.54189, -0.190697, 0.717626; 
0.59, -1.54195, -0.190785, 0.717692; 
0.6, -1.54198, -0.190788, 0.717719; 
0.61, -1.54204, -0.190848, 0.717765; 
0.62, -1.54209, -0.190916, 0.717829; 
0.63, -1.54213, -0.190919, 0.717849; 
