0, 0.939779, 0.341781, 0.000982073, -0.341781, 0.93978, 1.88021e-05, -0.000916505, -0.000353324, 1; 
0.01, 0.939779, 0.341781, 0.00103062, -0.341781, 0.939779, 0.000199029, -0.000900531, -0.00053929, 0.999999; 
0.02, 0.948539, 0.316283, -0.0154283, -0.316659, 0.947392, -0.0466449, -0.000136375, 0.0491301, 0.998792; 
0.03, 0.957069, 0.289643, -0.011239, -0.289818, 0.955545, -0.0542052, -0.00496076, 0.0551354, 0.998467; 
0.04, 0.963924, 0.266128, -0.00519084, -0.265945, 0.962079, -0.0606452, -0.0111454, 0.0598378, 0.998146; 
0.05, 0.969472, 0.245194, 0.00198555, -0.244722, 0.968051, -0.0546563, -0.0153235, 0.0525019, 0.998503; 
0.06, 0.974061, 0.226124, 0.0085778, -0.225535, 0.973213, -0.0446139, -0.0184363, 0.0415221, 0.998967; 
0.07, 0.977903, 0.208601, 0.0137996, -0.208039, 0.977524, -0.0341467, -0.0206126, 0.0305213, 0.999322; 
0.08, 0.981124, 0.192474, 0.0186981, -0.192062, 0.98114, -0.0218106, -0.0225434, 0.0178077, 0.999587; 
0.09, 0.983873, 0.177539, 0.0217637, -0.177297, 0.984077, -0.0125818, -0.0236509, 0.00852026, 0.999684; 
0.1, 0.986273, 0.163531, 0.022895, -0.163428, 0.986535, -0.0063169, -0.0236197, 0.00248851, 0.999718; 
0.11, 0.98834, 0.150482, 0.0232051, -0.150495, 0.98861, -0.00119149, -0.0231201, -0.0023147, 0.99973; 
0.12, 0.990113, 0.13845, 0.0225501, -0.138515, 0.990359, 0.00133448, -0.022148, -0.00444482, 0.999745; 
0.13, 0.991624, 0.127338, 0.0215884, -0.127433, 0.991842, 0.00307503, -0.0210207, -0.00580038, 0.999762; 
0.14, 0.992915, 0.117074, 0.020344, -0.117177, 0.993103, 0.00398596, -0.019737, -0.00634159, 0.999785; 
0.15, 0.994014, 0.107619, 0.0188397, -0.107711, 0.994174, 0.00394296, -0.0183056, -0.00594862, 0.999815; 
0.16, 0.994941, 0.0989035, 0.017635, -0.0989968, 0.995078, 0.00449478, -0.0171036, -0.00621788, 0.999834; 
